clusters_bons;clusters_ruins
UFMG_59;Mamajek_1
COIN-Gaia_32;UBC_647
UPK_119;Kronberger_25
UBC_387;ESO_123_26
UBC_451;Moffat_1
UBC_463;UPK_152
UBC_582;ESO_392_13
UPK_230;Hogg_18
UPK_33;Teutsch_8
FSR_0977;FSR_1113
SAI_47;UBC_572
UBC_396;UPK_468
FSR_1170;ASCC_66
UPK_508;Berkeley_82
UPK_219;UBC_670
FSR_1172;UBC_620
UBC_496;FSR_0284
Czernik_1;NGC_1444
UPK_21;Teutsch_30
ESO_166_04;Toepler_1
Bochum_4;UFMG_44
NGC_225;NGC_7024
UPK_578;UBC_617
Ruprecht_76;UPK_66
UBC_152;Ruprecht_123
UBC_493;FSR_0524
UBC_576;UPK_137
UBC_533;UBC_560
COIN-Gaia_40;FSR_1260
UBC_503;Gulliver_54
Ruprecht_10;BH_111
FSR_0384;UFMG_16
FSR_0667;FSR_0158
UBC_381;UBC_380
UPK_452;UBC_247
FSR_0905;UBC_663
Gulliver_40;UFMG_47
UPK_99;UBC_606
UFMG_30;UPK_526
COIN-Gaia_21;Gulliver_45
UPK_385;Hogg_10
FSR_0553;UPK_540
UBC_563;Collinder_469
UPK_282;Patchick_90
NGC_7058;Berkeley_58
NGC_1496;Haffner_19
FSR_0968;Juchert_9
UBC_415;Alessi_18
UPK_178;Feibelman_1
UPK_502;UPK_5
FSR_0224;UPK_630
NGC_189;NGC_6469
FSR_1284;Berkeley_101
ASCC_115;UBC_339
Patchick_3;Ferrero_11
Gulliver_32;FSR_0866
FSR_1484;Hogg_17
Pismis_11;SAI_17
BH_92;UFMG_53
UPK_552;SAI_14
FSR_1399;Dias_2
UBC_347;Gulliver_10
IC_2157;Ruprecht_130
Hogg_16;ASCC_99
Basel_10;COIN-Gaia_16
UBC_591;UPK_27
Stock_21;ESO_429_02
UBC_225;Ruprecht_75
UBC_483;BH_245
LP_2312;FSR_1407
UBC_527;UBC_536
Pismis_8;UBC_596
Teutsch_1;Riddle_4
COIN-Gaia_34;UBC_108
UBC_364;ASCC_101
COIN-Gaia_37;UBC_82
NGC_2580;UPK_26
Gulliver_39;FSR_1663
COIN-Gaia_35;UBC_360
UBC_373;UBC_588
Gulliver_5;Dias_1
NGC_7063;Czernik_15
FSR_1363;Alessi_9
UPK_94;Skiff_J1942+38.6
