"name";"RA_ICRS";"DE_ICRS";"dist";"e_dist";"age";"e_age";"FeH";"e_FeH";"Av";"e_Av";"Nc";"alpha_high_ind";"alpha_low_ind";"Mc_ind";"offset_ind";"Mc_left_ind";"Mc_right_ind";"alpha_high_ind_error";"alpha_low_ind_error";"Mc_ind_error";"offset_ind_error";"alpha_high_prim";"alpha_low_prim";"Mc_prim";"offset_prim";"Mc_left_prim";"Mc_right_prim";"alpha_high_prim_error";"alpha_low_prim_error";"Mc_prim_error";"offset_prim_error";"alpha_high_sec";"alpha_low_sec";"Mc_sec";"offset_sec";"Mc_left_sec";"Mc_right_sec";"alpha_high_sec_error";"alpha_low_sec_error";"Mc_sec_error";"offset_sec_error";"alpha_high_prim_sec";"alpha_low_prim_sec";"Mc_prim_sec";"offset_prim_sec";"Mc_left_prim_sec";"Mc_right_prim_sec";"alpha_high_prim_sec_error";"alpha_low_prim_sec_error";"Mc_prim_sec_error";"offset_prim_sec_error";"alpha_high_ind_prim";"alpha_low_ind_prim";"Mc_ind_prim";"offset_ind_prim";"Mc_left_ind_prim";"Mc_right_ind_prim";"alpha_high_ind_prim_error";"alpha_low_ind_prim_error";"Mc_ind_prim_error";"offset_ind_prim_error";"vis_mass_total";"vis_mass_total_error";"mass_total";"mass_total_error";"bin_frac";"average_ratio";"str_frac";"segregation_ratio";"segregation_ratio_std"
"Melotte_22";"56.8112";"24.1892";"135";"0";"8.005";"0.016";"-0.017";"0.01";"0.349";"0.036";"2552";"-1.98";"0.0";"-0.24";"1.52";"9.0";"11.0";"0.06";"0.4";"0.06";"0.06";"-1.43";"0.41";"0.1";"1.49";"4.0";"4.0";"0.1";"0.6";"0.19";"0.38";"-2.55";"0.43";"-0.12";"1.11";"3.0";"5.0";"0.03";"0.28";"0.04";"0.32";"-1.68";"0.27";"0.01";"1.65";"4.0";"5.0";"0.09";"0.56";"0.15";"0.37";"-1.66";"0.11";"-0.27";"1.63";"8.0";"12.0";"0.0";"0.15";"0.04";"0.0";"709.0";"2.0";"764.0";"76.4";"0.09";"0.67";"0.22";"0.79";"0.0"
"Mamajek_1";"130.9234";"-79.0036";"97";"0";"7.448";"0.137";"0.377";"0.201";"1.141";"0.361";"38";"-0.45";"0.0";"-0.33";"0.37";"0.0";"4.0";"inf";"inf";"inf";"inf";"-2.14";"0.0";"0.06";"0.5";"4.0";"0.0";"inf";"inf";"inf";"inf";"-2.04";"0.41";"0.06";"0.55";"4.0";"0.0";"inf";"inf";"inf";"inf";"-1.59";"1.16";"0.04";"0.81";"5.0";"0.0";"118425093.24";"750627795.0";"331431425.47";"1.46";"-0.71";"0.28";"-0.07";"0.57";"3.0";"3.0";"0.0";"0.15";"0.04";"0.0";"25.0";"2.0";"46.0";"4.6000000000000005";"0.5";"0.79";"0.13";"0.53";"0.0"
"UBC_647";"116.6378";"-48.2369";"1386";"19";"8.976";"0.091";"-0.085";"0.124";"0.479";"0.211";"44";"-1.15";"0.0";"0.06";"0.55";"3.0";"1.0";"inf";"inf";"inf";"inf";"-0.0";"0.71";"0.01";"0.41";"1.0";"3.0";"inf";"inf";"inf";"inf";"-0.0";"0.0";"0.1";"0.38";"3.0";"1.0";"inf";"inf";"inf";"inf";"-0.0";"0.0";"0.1";"0.52";"4.0";"2.0";"0.0";"2.31";"0.49";"1.27";"-0.17";"0.01";"-0.34";"0.54";"0.0";"6.0";"0.0";"0.15";"0.04";"0.0";"32.0";"2.0";"50.0";"5.0";"0.47";"0.61";"0.17";"0.61";"0.0"
"Kronberger_25";"275.6674";"-14.7233";"2375";"577";"6.907";"0.445";"0.21";"0.153";"3.996";"0.103";"40";"-0.0";"0.0";"0.02";"0.34";"0.0";"3.0";"inf";"inf";"inf";"inf";"-0.61";"0.0";"0.02";"0.7";"0.0";"5.0";"0.0";"0.7";"0.39";"0.0";"-0.53";"0.0";"0.02";"0.57";"0.0";"5.0";"0.0";"0.73";"0.3";"0.0";"-0.45";"0.0";"0.02";"0.83";"0.0";"6.0";"0.0";"0.68";"0.32";"0.0";"-0.55";"0.0";"0.02";"0.81";"0.0";"6.0";"0.0";"0.15";"0.04";"0.0";"100.0";"2.0";"150.0";"15.0";"0.65";"0.71";"0.13";"";"0.0"
"ESO_123_26";"118.1265";"-60.339";"917";"8";"8.675";"0.103";"-0.016";"0.038";"0.51";"0.048";"52";"-0.72";"0.02";"-0.07";"0.43";"1.0";"4.0";"0.39";"0.91";"0.17";"0.17";"-0.0";"0.0";"0.02";"0.44";"0.0";"5.0";"0.0";"2.43";"0.51";"0.0";"-1.79";"3.0";"0.02";"0.93";"3.0";"1.0";"inf";"inf";"inf";"inf";"-1.15";"1.69";"0.1";"0.97";"4.0";"2.0";"0.15";"2.66";"0.65";"1.03";"-0.0";"0.88";"0.1";"0.63";"3.0";"3.0";"0.0";"0.15";"0.04";"0.0";"45.0";"2.0";"69.0";"6.9";"0.52";"0.64";"0.2";"1.34";"0.0"
"UFMG_59";"126.5016";"-38.3427";"1280";"22";"7.899";"0.2";"-0.001";"0.102";"1.207";"0.164";"68";"-1.84";"0.0";"0.05";"0.93";"2.0";"3.0";"0.43";"2.13";"0.59";"0.59";"-2.16";"1.86";"0.1";"0.8";"2.0";"3.0";"0.06";"1.06";"0.27";"1.73";"-2.27";"1.07";"0.03";"0.65";"4.0";"1.0";"11557768.07";"296801118.72";"46457148.57";"2.92";"-1.86";"1.36";"0.1";"1.02";"4.0";"2.0";"0.14";"2.44";"0.65";"0.56";"-2.29";"0.0";"0.1";"1.18";"2.0";"4.0";"0.0";"0.15";"0.04";"0.0";"47.0";"2.0";"63.0";"6.300000000000001";"0.34";"0.62";"0.15";"0.76";"0.0"
"Moffat_1";"240.4176";"-54.1451";"2283";"175";"6.856";"0.092";"0.089";"0.137";"2.649";"0.054";"70";"-0.79";"0.0";"0.02";"0.94";"0.0";"6.0";"0.0";"0.53";"0.25";"0.25";"-1.49";"0.0";"0.02";"1.16";"0.0";"5.0";"0.0";"1.1";"0.47";"0.0";"-0.63";"0.86";"0.1";"0.63";"2.0";"4.0";"0.31";"0.42";"0.16";"1.52";"-0.77";"1.94";"0.1";"1.03";"2.0";"6.0";"0.35";"0.67";"0.28";"2.92";"-0.84";"0.0";"0.02";"1.13";"0.0";"7.0";"0.0";"0.15";"0.04";"0.0";"127.0";"2.0";"223.0";"22.3";"0.41";"0.84";"0.24";"";"0.0"
"UPK_152";"319.3688";"56.1415";"731";"8";"8.371";"0.355";"0.056";"0.11";"2.206";"0.056";"71";"-1.57";"0.05";"-0.21";"0.61";"0.0";"5.0";"0.0";"1.24";"0.21";"0.21";"-0.0";"0.15";"0.1";"0.49";"3.0";"2.0";"4.71";"4.36";"0.91";"3.08";"-0.0";"0.43";"0.1";"0.57";"4.0";"1.0";"45205865.77";"323177110.16";"51938638.32";"1.54";"-3.0";"1.58";"0.1";"1.33";"4.0";"2.0";"0.09";"2.59";"0.41";"1.39";"-2.73";"0.07";"0.1";"1.18";"3.0";"3.0";"0.0";"0.15";"0.04";"0.0";"46.0";"2.0";"74.0";"7.4";"0.48";"0.9";"0.21";"0.69";"0.0"
"COIN-Gaia_32";"28.2086";"63.0391";"1209";"18";"8.211";"0.181";"-0.121";"0.104";"1.674";"0.08";"77";"-2.57";"0.12";"-0.11";"0.54";"0.0";"5.0";"0.0";"0.87";"0.1";"0.1";"-0.99";"0.87";"0.04";"0.88";"1.0";"4.0";"0.3";"1.81";"0.48";"0.01";"-2.06";"1.23";"-0.05";"0.83";"1.0";"4.0";"0.06";"0.64";"0.1";"0.0";"-1.23";"3.0";"-0.03";"1.11";"2.0";"4.0";"0.07";"0.75";"0.17";"2.68";"-1.24";"0.04";"-0.02";"0.94";"1.0";"5.0";"0.0";"0.15";"0.04";"0.0";"68.0";"2.0";"107.0";"10.7";"0.64";"0.75";"0.14";"0.6";"0.0"
"UPK_119";"308.6567";"43.394";"767";"3";"8.832";"0.209";"-0.004";"0.068";"1.403";"0.134";"82";"-1.05";"0.0";"-0.28";"0.65";"0.0";"6.0";"0.0";"0.97";"0.15";"0.15";"-0.84";"0.43";"0.06";"0.61";"3.0";"1.0";"inf";"inf";"inf";"inf";"-2.53";"0.59";"-0.0";"0.51";"4.0";"1.0";"0.25";"5.09";"0.27";"2.71";"-1.44";"1.73";"-0.06";"0.73";"4.0";"2.0";"0.23";"4.02";"0.46";"1.36";"-1.46";"0.0";"0.02";"0.82";"4.0";"3.0";"0.0";"0.15";"0.04";"0.0";"43.0";"2.0";"78.0";"7.800000000000001";"0.31";"0.68";"0.18";"0.78";"0.0"
"ESO_392_13";"261.7333";"-34.6986";"1034";"12";"8.473";"0.173";"0.125";"0.052";"2.11";"0.067";"86";"-0.0";"0.12";"0.1";"0.5";"2.0";"3.0";"10.2";"3.54";"1.26";"1.26";"-0.07";"0.0";"-0.33";"0.55";"0.0";"5.0";"0.0";"0.73";"0.18";"0.0";"-0.0";"0.13";"0.1";"0.55";"3.0";"2.0";"5.76";"3.66";"0.84";"1.98";"-0.16";"2.33";"-0.15";"0.8";"2.0";"4.0";"0.11";"0.4";"0.09";"0.01";"-0.0";"0.65";"-0.02";"0.77";"1.0";"5.0";"0.0";"0.15";"0.04";"0.0";"65.0";"2.0";"83.0";"8.3";"0.55";"0.71";"0.18";"1.12";"0.0"
"Hogg_18";"222.6897";"-52.2846";"1710";"44";"7.819";"0.221";"0.155";"0.101";"1.686";"0.063";"86";"-0.69";"1.54";"-0.02";"0.86";"0.0";"5.0";"0.0";"0.95";"0.32";"0.32";"-0.86";"0.0";"0.02";"0.71";"0.0";"5.0";"0.0";"0.27";"0.09";"0.0";"-1.32";"0.15";"-0.14";"0.64";"0.0";"5.0";"0.0";"0.89";"0.18";"0.0";"-0.97";"0.08";"-0.03";"0.93";"1.0";"5.0";"0.23";"0.49";"0.17";"0.01";"-1.07";"0.0";"-0.03";"1.03";"0.0";"7.0";"0.0";"0.15";"0.04";"0.0";"87.0";"2.0";"123.0";"12.3";"0.41";"0.62";"0.14";"1.07";"0.0"
"Teutsch_8";"300.5979";"35.3105";"1823";"35";"6.663";"0.052";"0.106";"0.068";"1.872";"0.041";"88";"-0.35";"0.74";"-0.07";"0.65";"0.0";"4.0";"inf";"inf";"inf";"inf";"-1.1";"0.9";"0.04";"1.05";"1.0";"5.0";"0.12";"0.39";"0.18";"0.01";"-1.9";"0.86";"0.04";"0.95";"3.0";"4.0";"0.08";"0.57";"0.16";"0.62";"-1.23";"2.25";"-0.04";"1.1";"3.0";"7.0";"0.04";"0.2";"0.08";"0.67";"-0.91";"0.0";"-0.06";"1.09";"0.0";"7.0";"0.0";"0.15";"0.04";"0.0";"119.0";"2.0";"133.0";"13.3";"0.66";"0.72";"0.19";"1.0";"0.0"
"FSR_1113";"107.2956";"-1.5022";"4221";"303";"9.4";"0.14";"-0.13";"0.067";"0.353";"0.061";"91";"-0.0";"0.98";"0.04";"0.55";"1.0";"3.0";"inf";"inf";"inf";"inf";"-0.0";"3.0";"0.08";"0.81";"3.0";"3.0";"0.18";"6.6";"0.96";"6.96";"-3.0";"2.23";"-0.04";"0.93";"4.0";"2.0";"0.03";"1.15";"0.06";"0.58";"-0.83";"2.57";"0.05";"1.37";"6.0";"1.0";"7600654.59";"307156229.49";"40810187.87";"0.34";"-0.0";"3.0";"0.1";"0.96";"4.0";"3.0";"0.0";"0.15";"0.04";"0.0";"78.0";"2.0";"99.0";"9.9";"0.71";"0.65";"0.19";"0.77";"0.0"
"UBC_387";"326.0693";"58.775";"1526";"26";"8.569";"0.129";"0.056";"0.079";"1.746";"0.069";"93";"-0.99";"0.08";"-0.06";"0.72";"0.0";"4.0";"inf";"inf";"inf";"inf";"-0.98";"3.0";"0.1";"0.86";"3.0";"6.0";"0.14";"1.42";"0.38";"4.7";"-2.65";"3.0";"-0.0";"0.93";"4.0";"3.0";"0.02";"0.71";"0.06";"0.64";"-1.7";"2.94";"0.06";"1.36";"4.0";"4.0";"0.08";"1.46";"0.36";"1.66";"-0.35";"0.2";"-0.09";"0.86";"0.0";"7.0";"0.0";"0.15";"0.04";"0.0";"91.0";"2.0";"114.0";"11.4";"0.68";"0.64";"0.16";"1.0";"0.0"
"UBC_451";"100.7118";"-23.6898";"1707";"61";"8.472";"0.057";"-0.1";"0.071";"0.221";"0.043";"98";"-0.95";"0.0";"0.05";"0.68";"4.0";"1.0";"99328646.76";"262365151.35";"106284711.95";"106284711.95";"-1.28";"0.0";"0.06";"0.73";"2.0";"3.0";"0.34";"1.38";"0.37";"2.16";"-1.53";"0.0";"-0.02";"0.54";"3.0";"2.0";"0.29";"2.9";"0.3";"1.3";"-1.77";"0.2";"0.05";"1.0";"3.0";"3.0";"0.16";"1.19";"0.29";"0.92";"-0.93";"0.01";"-0.16";"0.83";"0.0";"6.0";"0.0";"0.15";"0.04";"0.0";"52.0";"2.0";"83.0";"8.3";"0.48";"0.67";"0.16";"0.96";"0.0"
"UBC_463";"116.5459";"-26.2106";"1898";"0";"8.0";"0.0";"-0.079";"0.0";"0.01";"0.0";"98";"-1.88";"0.62";"0.05";"0.65";"5.0";"0.0";"135486540.36";"921262501.59";"300535234.26";"300535234.26";"-1.13";"1.3";"-0.05";"0.84";"2.0";"4.0";"15.08";"0.84";"0.19";"440.66";"-1.75";"1.34";"-0.16";"0.61";"2.0";"6.0";"0.02";"0.18";"0.03";"0.23";"-1.37";"2.68";"-0.12";"1.06";"3.0";"5.0";"0.06";"0.47";"0.08";"1.32";"-1.6";"0.0";"-0.17";"0.93";"0.0";"6.0";"0.0";"0.15";"0.04";"0.0";"69.0";"2.0";"105.0";"10.5";"0.72";"0.71";"0.15";"0.76";"0.0"
"UBC_572";"280.4311";"-21.9849";"1390";"32";"9.237";"0.049";"-0.057";"0.088";"1.544";"0.144";"95";"-2.53";"0.15";"-0.1";"0.6";"0.0";"6.0";"0.0";"1.11";"0.12";"0.12";"-0.0";"3.0";"0.1";"0.83";"3.0";"3.0";"0.31";"4.13";"0.8";"8.34";"-0.85";"2.16";"-0.09";"0.78";"3.0";"3.0";"0.1";"1.36";"0.15";"1.58";"-0.0";"1.87";"0.1";"1.14";"5.0";"2.0";"0.13";"2.02";"0.36";"0.85";"-0.0";"0.64";"0.1";"0.9";"4.0";"3.0";"0.0";"0.15";"0.04";"0.0";"83.0";"2.0";"120.0";"12.0";"0.6";"0.71";"0.2";"0.68";"0.0"
"UBC_582";"299.8677";"38.547";"1098";"17";"7.267";"0.053";"0.044";"0.064";"0.518";"0.05";"93";"-1.09";"0.0";"-0.23";"0.88";"0.0";"5.0";"0.0";"0.6";"0.16";"0.16";"-1.4";"0.91";"0.04";"0.76";"1.0";"4.0";"0.17";"1.38";"0.32";"0.01";"-2.02";"1.18";"0.0";"0.7";"4.0";"1.0";"53470403.26";"1552250671.44";"171141360.71";"0.98";"-2.08";"1.77";"0.02";"0.99";"4.0";"4.0";"0.05";"0.61";"0.12";"0.59";"-1.16";"0.0";"-0.13";"0.96";"1.0";"6.0";"0.0";"0.15";"0.04";"0.0";"66.0";"2.0";"97.0";"9.7";"0.36";"0.58";"0.26";"0.78";"0.0"
"UPK_230";"353.8063";"71.6563";"533";"3";"7.8";"0.357";"-0.029";"0.12";"1.407";"0.25";"98";"-1.32";"0.04";"-0.22";"0.67";"1.0";"5.0";"0.2";"0.71";"0.14";"0.14";"-0.48";"0.48";"0.1";"0.65";"2.0";"2.0";"inf";"inf";"inf";"inf";"-1.49";"0.26";"0.1";"0.72";"2.0";"3.0";"0.21";"0.66";"0.18";"1.0";"-0.87";"0.87";"0.07";"0.99";"2.0";"3.0";"0.58";"1.02";"0.5";"2.04";"-0.8";"0.0";"-0.22";"0.91";"1.0";"5.0";"0.0";"0.15";"0.04";"0.0";"62.0";"2.0";"81.0";"8.1";"0.32";"0.83";"0.21";"0.92";"0.0"
